Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
O	O	O	O	O	O	B	I	I	I	O																														
Siamo	tutti	uno	agli	occhi	del	Signore	.																																	
O	O	O	O	B	I	I	O																																	
God	replied	that	God	does	not	think	as	humans	think	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Dio	rispose	che	Dio	non	pensa	come	pensano	gli	esseri	umani	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
So	fear	Allah	,	and	obey	me	.																																	
O	O	O	O	O	O	O	O																																	
Temete	Allah	ed	obbeditemi	.																																				
O	O	O	O	O																																				
I	only	believe	in	one	God	,	Who	has	no	partner	.																													
O	O	O	O	B	I	O	O	O	O	O	O																													
io	credo	soltanto	in	un	unico	Dio	,	Che	non	ha	compagni	.																												
O	O	O	O	O	B	I	O	O	O	O	O	O																												
That	is	their	cocaine	.																																				
O	O	O	O	O																																				
Quella	è	la	loro	cocaina	.																																			
O	O	O	O	O	O																																			
Wo	n't	you	arrest	this	mulatto	?																																		
O	O	O	O	O	O	O																																		
Non	arrestate	questa	mulatta	?																																				
O	O	O	O	O																																				
And	Allah	is	not	unmindful	of	what	ye	do	.																															
O	O	O	O	O	O	O	O	O	O																															
Allah	non	è	incurante	di	quello	che	fate	.																																
O	O	O	O	O	O	O	O	O																																
A	smaller	ship	–	captured	.																																			
O	O	O	O	O	O																																			
Una	nave	più	piccola	-	catturata	.																																		
O	O	O	O	O	O	O																																		
Three	Russians	are	a	revolution	.																																			
O	O	O	O	O	O																																			
Tre	russi	sono	una	rivoluzione	.																																			
O	O	O	O	O	O																																			
Each	blogger	is	in	charge	of	three	accounts	.																																
O	O	O	O	O	O	O	O	O																																
Ogni	blogger	è	responsabile	di	tre	account	.																																	
O	O	O	O	O	O	O	O																																	
He	also	gives	each	of	them	a	special	sword	he	forged	.																													
O	O	O	O	O	O	O	B	I	O	O	O																													
Egli	dà	anche	a	ciascuno	di	loro	una	spada	speciale	che	ha	forgiato	.																											
O	O	O	O	O	O	O	O	B	I	O	O	O	O																											
We	are	not	friends	,	we	do	n't	see	each	other	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Noi	non	siamo	amici	,	non	ci	vediamo	l'	un	l'	altro	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
You	will	be	my	agent	in	his	camp	.																																
O	O	O	O	O	O	O	O	O																																
Tu	sarai	il	mio	agente	nel	suo	campo	.																																
O	O	O	O	O	O	O	O	O																																
He	also	voiced	'	Wolfy	'	in	the	series	Super	Why	!																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Ha	anche	doppiato	'	Wolfy	'	nella	serie	Super	Why	!																														
O	O	O	O	O	O	O	B	I	I	O																														
At	first	,	everything	goes	as	Oliver	had	predicted	.																															
B	I	O	O	O	O	O	O	O	O																															
In	un	primo	tempo	,	tutto	va	come	Oliver	aveva	predetto	.																													
O	O	B	I	O	O	O	O	O	O	O	O																													
I	love	the	country	,	Istanbul	and	Turkish	people	.																															
O	O	O	O	O	O	O	B	I	O																															
Mi	piace	il	paese	,	Istanbul	e	il	popolo	turco	.																														
O	O	O	O	O	O	O	O	B	I	O																														
This	is	the	reason	that	day	and	night	are	never	together	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Questo	è	il	motivo	per	il	quale	il	giorno	e	la	notte	non	sono	mai	insieme	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
What	it	meant	was	not	that	there	were	no	people	in	Palestine	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Quello	che	significava	non	era	che 	non	ci	fossero	persone	in	Palestina	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
When	you	see	dancing	on	television	,	that	's	Jack	Cole	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Quando	vedi	ballare	in	televisione	,	quello	è	Jack	Cole	.																														
O	O	O	O	O	O	O	O	B	I	O																														
Tommy	writes	Lou	another	,	legitimate	letter	and	gives	it	to	him	.																												
O	O	O	O	O	B	I	O	O	O	O	O	O																												
Tommy	scrive	a	Lou	un'	altra	,	legittima	lettera	e	la	dà	a	lui	.																										
O	O	O	O	O	O	O	B	I	O	O	O	O	O	O																										
She	said	,	what	has	he	said	?																																	
O	O	O	O	O	O	O	O																																	
Lei	disse	,	cosa	ha	detto	?																																		
O	O	O	O	O	O	O																																		
But	do	n't	forget	one	thing	:	you	must	be	the	masters	of	your	own	construction	projects	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																							
Ma	non	dimenticate	una	cosa	:	dovete	essere	i	maestri	dei	vostri	progetti	di	costruzione	.																									
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																									
Is	the	Indian	's	conversion	real	?																																		
O	O	B	I	I	O	O																																		
La	conversione	dell'	indiano	è	reale	?																																		
O	B	I	I	O	O	O																																		
Who	owns	the	zebra	?																																				
O	O	O	O	O																																				
Chi	possiede	la	zebra	?																																				
O	O	O	O	O																																				
I	'll	go	and	see	the	doctor	tomorrow	morning	.																															
O	O	O	O	O	O	O	O	O	O																															
Andrò	a	vedere	il	medico	domani	mattina	 .																																	
O	O	O	O	O	O	O	O																																	
The	life 	of	the 	author	,	introduced	by	Jo.	Baptista	Morgagni	.																													
O	B	I	I	I	O	O	O	B	I	I	O																													
La	vita	dell'	autore	,	introdotta	da	Jo.	Battista	Morgagni	.																														
O	B	I	I	O	O	O	B	I	I	O																														
At	the	same	time	,	Egypt	launches	another	offensive	.																															
O	O	O	O	O	O	O	O	O	O																															
Allo	stesso	tempo	,	l'	Egitto	lancia	un'	altra	offensiva	.																														
O	O	O	O	O	O	O	O	O	O	O																														
(	'	Nestor	's	cup	may	be	good	,	but	...	'	)																												
O	O	B	I	I	O	O	O	O	O	O	O	O																												
(	'	La	coppa	di	Nestore	può	esser	buona	,	ma	...	'	)																											
O	O	O	B	I	I	O	O	O	O	O	O	O	O																											
In	the	long	run	,	only	processes	with	high	%	of	Ren	are	sustainable	.																										
O	O	B	I	O	O	B	I	I	I	I	I	O	O	O																										
Nel	lungo	periodo	,	solo	i	processi	con	un'	alta	%	di	Ren	sono	sostenibili	.																									
O	B	I	O	O	O	B	I	I	I	I	I	I	O	O	O																									
They	are	our	monsters	,	of	which	we	get	temporarily	rid	only	for	another	day	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Sono	i	nostri	mostri	,	dei	quali	ci	liberiamo	temporaneamente	solo	per	un	altro	giorno	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
May	they	and	their	commanders	live	happy	all	their	years	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Possano	loro	ed	i	loro	comandanti	vivere	felici	tutti	i	loro	anni	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Only	150	pilots	could	be	replaced	up	to	21	September	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Solamente	150	piloti	poterono	essere	sostituiti	entro	il	21	settembre	.																														
O	O	O	O	O	O	O	O	O	O	O																														
However	,	Azerbaijan	has	continually	stated	that	it	is	interested	in	a	diplomatic	and	peaceful	solution	.																								
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																								
Tuttavia	,	l'	Azerbaigian	ha	sempre	dichiarato	che	è	interessato	a	una	soluzione	diplomatica	e	pacifica	.																								
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																								
The	pile	dwelling	was	only	inhabited	during	certain	summer	months	.																														
O	B	I	O	O	O	O	O	I	I	O																														
La	palafitta	era	abitata	soltanto	in	alcuni	mesi	estivi	.																															
O	O	O	O	O	O	O	B	I	O																															
Moje	Pieniądze	(	My	Money	)	is	a	Thursday	supplement	devoted	to	personal	finance	.																										
B	I	O	O	O	O	O	O	B	I	O	O	B	I	O																										
Moje	Pieniądze	(	il	mio	denaro	)	è	un	supplemento	del	giovedì	dedicato	alla	finanza	personale	.																								
B	I	O	O	O	O	O	O	O	B	I	I	O	O	B	I	O																								
If	they	do	,	then	I	'll	have	to	eat	my	hat	or	something	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Se	lo	fanno	,	allora	dovrò	mangiarmi	il	cappello	o	qualcosa	del	genere	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
She	turns	out	to	be	the	girl	who	rescued	Jimmy	the	previous	summer	.																											
O	B	I	O	O	O	O	O	O	O	O	O	O	O																											
Lei	risulta	essere	la	ragazza	che	salvò	Jimmy	l'	estate	precedente	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Learn	how	to	play	an	instrument	24	.																																	
O	O	O	O	O	O	O	O																																	
Imparare	a	suonare	uno	strumento	24	.																																		
O	O	O	O	O	O	O																																		
Captain	Jack	got	up	and	walked	away	a	few	steps	.																														
B	I	O	O	O	O	O	O	O	O	O																														
Capitan	Jack	si	alzò	e	si	allontanò	di	alcuni	passi	.																														
B	I	O	O	O	O	O	O	O	O	O																														
I	will	probably	think	three	times	before	I	use	this	colonel	again	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Probabilmente	penserò	tre	volte	prima	di	usare	nuovamente	questo	colonnello	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Hidden	armony	of	different	beauties	!																																			
B	I	O	B	I	O																																			
Recondita	armonia	di	bellezze	diverse	!																																			
B	I	O	B	I	O																																			
What	does	Robert	Christgau	do	in	bed	?																																	
O	O	B	I	O	O	O	O																																	
Cosa	fa	Robert	Christgau	a	letto	?																																		
O	O	B	I	O	O	O																																		
        Pepper	,	little	worlds	out	of	the	world	.																																
O	O	B	I	O	O	O	O	O																																
        Pepper            	,	piccoli	mondi	fuori	dal	mondo	.																																	
O	O	B	I	O	O	O	O																																	
And	so	,	despite	warnings	,	Enki	consumes	the	other	seven	fruit	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
E	così	,	nonostante	gli	avvertimenti	,	Enki	consuma	gli	altri	sette	frutti	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Her	spouse	,	the	Old	Father	,	was	the	god	of	fire	.																												
O	O	O	O	B	I	O	O	O	B	I	I	O																												
Il	suo	sposo	,	il	Vecchio	Padre	,	era	il	dio	fuoco	.																												
O	O	O	O	O	B	I	O	O	O	B	I	O																												
To	all	these	lands	have	I	led	(	the	Turks	)	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
A	tutte	queste	terre	ho	guidato	(	i	Turchi	)	.																														
O	O	O	O	O	O	O	O	O	O	O																														
This	type	of	activism	was	traditionally	forbidden	in	Texas	.																															
O	O	O	O	O	O	O	O	O	O																															
Questo	tipo	di	attivismo	era	tradizionalmente	proibito	in	Texas	.																															
O	O	O	O	O	O	O	O	O	O																															
They	say	:	        there	is	nothing	south	of 	the	South	Pole	,	and	there	was	nothing	before	the	Beginning	.																					
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																					
Dicono	:	        Non	c'	è	nulla	a	sud	polo	sud	,	e	non	c'	era	prima	del	Principio	.																						
O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O																						
113	of	these	mollusk	species	have	never	been	collected	outside	the	state	.																												
O	O	O	B	I	O	O	O	O	O	O	O	O																												
113	di	queste	specie	di	molluschi	non	sono	mai	state	raccolte	fuori	dallo	stato	.																										
O	O	O	B	I	I	O	O	O	O	O	O	O	O	O																										
The	crowd	was	amazed	and	said	,	Nothing	like	this	has	never	been	seen	in	Italy	.																								
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O																								
Il	popolo	con	stupore	diceva	:	Non 	si	è	mai	vista	una	cosa	simile	in	Italia	.																								
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	O																								
The	king	must	not	have	too	much	silver	and	gold	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Il	re	non	deve	possedere	troppo	argento	e	oro	.																															
O	O	O	O	O	O	O	O	O	O																															
During	the	5	-	year	term	,	she	did	not	draft	any	report	as	a	rapporteur	(	primary	legislator	)	.																				
O	O	B	I	I	I	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O																				
Durante	il	periodo	di	5	anni	,	non	ha	redatto	alcun	rapporto	come	relatore	(	legislatore	primario	)	.																						
O	O	B	I	I	I	O	O	O	O	O	O	O	O	O	B	I	O	O																						
Those	who	pursue	only	reason	and	science	are	ignorant	.																															
O	O	O	O	O	O	O	O	O	O																															
Coloro	che	seguono	solo	la	ragione	e	la	scienza	sono	in	realtà	ignoranti	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Whether	you	like	it	or	not	,	 Ether 	did	this	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Che	ti	piaccia	o	meno	,	Ether	ha	fatto	questo	.																														
O	O	O	O	O	O	O	O	O	O	O																														
There	is	evidence	in	2	Samuel	7	that	this	may	have	been	the	case	also	in	Israel	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Esiste	una	testimonianza	in	2	Samuele	7	che	ciò	potrebbe	esser	stato	il	caso	anche	di	Israele	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
        We       	witnessed	the	collapse	of	the	financial	system	.																																
O	O	O	O	O	O	B	I	O																																
Abbiamo	assistito	al	crollo	del	sistema	finanziario	.																																	
O	O	O	O	O	B	I	O																																	
Like	his	father	he	visited	Europe	three	times	.																																
O	O	O	O	O	O	O	O	O																																
Come	suo	padre	,	visitò	l'	Europa	tre	volte	.																															
O	O	O	O	O	O	O	O	O	O																															
Sarah	had	similar	behaviours	and	dispositions	as	Mary	.																																
O	O	B	I	O	O	O	O	O																																
Sarah	aveva	comportamenti	e	disposizioni	simili	a	Mary	.																																
O	O	O	O	B	I	O	O	O																																
Susan	Zuccotti	,	right	under	its	windows	.																																	
B	I	O	O	O	O	O	O																																	
Susan	Zuccotti	,	proprio	sotto	le	sue	finestre	.																																
B	I	O	O	O	O	O	O	O																																
Arnold	would	then	send	White	's	mother	two	dollars	a	week	.																													
O	O	O	O	B	I	I	O	O	O	O	O																													
Arnold	avrebbe	mandato	quindi	alla	madre	di	White	due	dollari	a	settimana	.																												
O	O	O	O	O	B	I	I	O	O	O	O	O																												
Some	of	them	were	(	like	their	husbands	)	not	crowned	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Alcune	di	loro	furono	(	come	i	loro	mariti	)	non	incoronate	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
If	things	do	not	change	,	in	2020	the	number	of	annual	deaths	could	double	.																									
O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	O																									
Se	non	cambiano	le	cose	,	2020	il	numero	di	morti	annuali	potrebbe	raddoppiare	.																										
O	O	O	O	O	O	O	O	O	O	B	I	O	O	O																										
1915	:	Book	of	Millions	.																																			
O	O	B	I	I	O																																			
1915	:	Libro	di	Milioni	.																																			
O	O	B	I	I	O																																			
European	rulers	had	long	since	ceased	to	take	Charles	seriously	.																														
B	I	O	O	O	O	O	O	O	O	O																														
I	governanti	europei	avevano	da	tempo	smesso	di	prendere	seriamente	Charles	.																													
O	B	I	O	O	O	O	O	O	O	O	O																													
He	soon	returns	and	attacks	Lord	Edward	.																																	
O	O	O	O	O	B	I	O																																	
Lui	presto	ritorna	e	attacca	Lord	Edward	.																																	
O	O	O	O	O	B	I	O																																	
The	ghetto	makes	you	think	.																																			
O	O	O	O	O	O																																			
Il	ghetto	ti	fa	pensare	.																																			
O	O	O	O	O	O																																			
At	last	,	with	the	Macchi	202	we	had	a	competitive	plane	.																												
O	O	O	O	O	B	I	O	O	O	B	I	O																												
Finalmente	,	con	il	Macchi	202	avevamo	un	aeroplano	competitivo	.																														
O	O	O	O	B	I	O	O	B	I	O																														
Finally	over	38	million	for	the	Führer	.																																	
O	O	O	O	O	O	O	O																																	
Infine	più	di	38	milioni	per	il	Führer.																																	
O	O	O	O	O	O	O	O																																	
Brian	for	this	task	is	helped	by	Gabbo	.																																
O	O	O	O	O	O	O	O	O																																
Brian	per	questo	compito	si	fa	aiutare	da	Gabbo	.																															
O	O	O	O	O	O	O	O	O	O																															
 Paradise     	,	wrote	Andrée	.																																				
O	O	O	O	O																																				
        Il	paradiso	,	scrisse	Andrée	.																																			
O	O	O	O	O	O																																			
Not	surprisingly	,	Lithuania	was	,	at	first	,	assigned	to	Germany	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Non	sorprendentemente	,	la	Lituania	fu	,	in	un	primo	momento	,	assegnata	alla	Germania	.																									
O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O																									
Nepenthes	kongkandana	,	da	ufficiosa	ad	ufficiale	.																																	
B	I	O	O	O	O	O	O																																	
Nepenthes	kongkandana	,	da	ufficiosa	ad	ufficiale	.																																	
B	I	O	O	O	O	O	O																																	
One	can	never	see	the	same	in	any	other	place	in	Azerbaijan	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Non	si	può	mai	vedere	lo	stesso	in	nessun	altro	posto	in	Azerbaigian	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
I	do	not	see	any	reason	why	it	's	suddenly	become	important	,	when	the	Internet	has	functioned	quite	well	for	the	past	15	years	without	it	.													
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O													
Non	vedo	alcuna	ragione	per	cui	è	improvvisamente	diventato	importante	,	quando	Internet	ha	funzionato	abbastanza	bene	ultimi	15	anni	senza	di	essa	.																	
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																	
He	also	told	Libra	that	defeat	was	his	destiny	,	now	and	forever	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Disse	anche	a	Libra	che	la	sconfitta	era	il	suo	destino	,	ora	e	per	sempre	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
        Such  	was 	my	scheme	,	and	such	has	been	its	consequencies																														
O	O	O	O	O	O	O	O	O	O	O																														
Questo	era	il	mio	progetto	e	questa	ne	sono	state	le	sua	conseguenze	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
I	have	not	yet	decided	on	future	projects	,	but	my	relationship	with	Universal	Press	Syndicate	will	continue	.																						
O	O	O	O	O	O	B	I	O	O	O	O	O	B	I	I	O	O	O																						
Non	ho	ancora	deciso	miei	progetti	futuri	,	ma	la	mia	relazione	con	la	Universal	Press	Syndicate	proseguirà	.																						
O	O	O	O	O	B	I	O	O	O	O	O	O	O	B	I	I	O	O																						
He	is	known	for	his	intellect	,	which	some	        feel	intimidated	by	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
È	noto	per	il	suo	intelletto	,	da	cui	alcuni	        si	sentono	intimiditi																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Eric	Roberts	'	dialogue	was	recorded	in	15	minutes	.																															
B	I	O	O	O	O	O	O	O	O																															
Il	dialogo	di	Eric	Roberts	è	stato	registrato	in	15	minuti	.																													
O	O	O	B	I	O	O	O	O	O	O	O																													
Up	till	it	s	closure	,	Yahoo	!	considered	Go	as	Beta	software	.																											
O	O	O	O	O	O	B	I	O	O	O	B	I	O																											
Fino	sua	chiusura	,	Yahoo	!	ha	considerato	Go	come	beta	software	.																												
O	O	O	O	B	I	O	O	O	O	B	I	O																												
For	this	reason	,	they	require	further	interpretation	by	Russian	courts	.																													
O	O	O	O	O	O	B	I	O	B	I	O																													
Per	questo	motivo	,	richiedono	ulteriori	interpretazioni	da	parte	tribunali	russi	.																													
O	O	O	O	O	B	I	O	O	B	I	O																													
President	Kadyrov	strongly	denied	these	reports	on	1	June	.																															
B	I	O	O	O	O	O	O	O	O																															
Il	presidente	Kadyrov	ha	fortemente	negato	queste	relazioni	il	1	°	giugno	.																												
O	B	I	O	O	O	O	O	O	O	O	O	O																												
There	are	higher	penalties	–	up	to	10	years	of	prison	–	when	the	hacker	also	modifies	data	 .																						
O	O	B	I	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O																						
Ci	sono	sanzioni	più	elevate	-	fino	a	10	anni	di	carcere	-	quando	l'	hacker	modifica	anche	i	dati	.																				
O	O	B	I	I	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O																				
Black	America	will	understand	what	we	did	tonight	.																																
B	I	O	O	O	O	O	O	O																																
L'	America	nera	comprenderà	ciò	che	abbiamo	fatto	stanotte	.																															
O	B	I	O	O	O	O	O	O	O																															
I	have	not	shut	my	ears	to	the	words	of	truth	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Non	ho	chiuso	le	mie	orecchie	alle	parole	di	verità	.																														
O	O	O	O	O	O	O	B	I	I	O																														
One	analyst	says	:	        Russia 	       feels 	       very  	      close  	      to   	     the   	     Israeli  	      leadership 	.																												
O	O	O	O	O	O	O	O	O	O	B	I	O																												
Un	analista	dice	:	La 	Russia	 si	 sente	 molto	 vicina	alla	leadership	Israeliana	.																											
O	O	O	O	O	O	O	O	O	O	O	B	I	O																											
Many	Muslims	chose	to	leave	,	provided	they	had	the	means	to	do	so	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Molti	musulmani	scelsero	di	lasciare	,	sempre	che	avessero	i	mezzi	per	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
The	Rus'	,	many	of	whom	appear	to	have	been	professional	soldiers	,	arrived	on	18	ships	.																							
O	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O																							
I	Rus'	,	molti	quali	pare	fossero	stati	soldati	professionisti	,	arrivarono	su	18	navi	.																									
O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O																									
        How   	     do      	     organisms     	   coordinate 	their 	common	 behavior	 ?																																	
O	O	O	O	O	B	I	O																																	
        Come     	   coordinano	        gli  	      organismi 	       i     	   loro         	    comportamenti   	     comuni    	    ?   																																
O	O	O	O	O	O	B	I	O																																
Three	crowns	for	a	king	.																																			
O	O	O	O	O	O																																			
Tre	corone	per	un	re.																																				
O	O	O	O	O																																				
Europe 	of         	tomorrow	must	be	a	supranational	Europe	 ,  	 he	declared	.																													
B	I	I	O	O	O	B	I	O	O	O	O																													
 L'  	Europa	di	domani	deve	essere	un'     	Europa	sovranazionale	,	ha	dichiarato	.																												
O	B	I	I	O	O	O	B	I	O	O	O	O																												
For	Dylan	,	the	world	will	eventually	know	that	there	is	only	one	God	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Per	Dylan	,	il	mondo	fine	saprà	che	c'	è	un	unico	Dio	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Sorry	,	Barb	,	but	it	was	atrocious	.																																
O	O	O	O	O	O	O	O	O																																
Mi	spiace	,	Barb	,	ma	era	davvero	atroce	.																															
O	O	O	O	O	O	O	O	O	O																															
The	Spaniard	owns	the	dog	.																																			
O	O	O	O	O	O																																			
Lo	spagnolo	possiede	il	cane	.																																			
O	O	O	O	O	O																																			
Spend	a	week	in	silence	.																																			
O	O	O	O	O	O																																			
Trascorrere	una	settimana	in	silenzio	.																																			
O	O	O	O	O	O																																			
His	last	movie	was	A	Day	Without	a	Mexican	.																															
O	O	O	O	B	I	I	I	I	O																															
Il	suo	ultimo	film	fu	A	Day	Without	a	Mexican	.																														
O	O	O	O	O	B	I	I	I	I	O																														
He	improved	communications	with	Bogotá	.																																			
O	O	O	O	O	O																																			
Migliorò	le	comunicazioni	con	Bogotá	.																																			
O	O	O	O	O	O																																			
You	are	dead	,	and	no	slogan	will	bring	you	back	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Tu	sei	morto	e	nessuno	slogan	ti	riporterà	indietro	.																															
O	O	O	O	O	O	O	O	O	O																															
Mike	and	Ryan	often	clash	on	how	he	should	be	raised	.																													
O	O	O	O	B	I	O	O	O	O	O	O																													
Mike	e	Ryan	spesso	si	scontrano	su	come	dovrebbe	essere	cresciuto	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
He	believed	,	therefore	,	that	God	must	care	even	more	for	humanity	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Egli	credeva	quindi	che	Dio	dovesse	avere	a	cuore	l'	umanità	anche	di	più	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Women	lived	with	women	;	men	lived	with	men	.																															
O	O	O	O	O	O	O	O	O	O																															
Donne	vivevano	con	donne	;	uomini	vivevano	con	uomini	.																															
O	O	O	O	O	O	O	O	O	O																															
Tomorrow	,	I	will	dance	for	Russia	.																																	
O	O	O	O	O	O	O	O																																	
Domani	danzerò	per	la	Russia	.																																			
O	O	O	O	O	O																																			
Outright	crusade	from	Milan	.																																				
O	O	O	O	O																																				
Crociata	a	titolo	definitivo	dal	Milan	.																																		
O	O	B	I	O	O	O																																		
But	there	is	one	question	:	how	did	Breen	get	to	Esther	's	house	?																										
O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																										
Ma	c'	è	una	domanda	:	come	ha	fatto	Breen	ad	arrivare	a	casa	di	Esther	?																								
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																								
Frank	Capra	,	The	Name	Above	the	Title	.																																
B	I	O	B	I	I	I	I	O																																
Frank	Capra	,	Il	nome	sopra	il	titolo	.																																
B	I	O	B	I	I	I	I	O																																
At	one	time	or	another	virtually	every	product	that	can	be	imagined	has	been	made	in	the	UK	.																						
B	I	I	I	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
Da	un	momento	o	all'	altro	virtualmente	ogni	prodotto	che	può	essere	immaginato	è	stato	prodotto	nel	Regno	Unito	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																					
Approach	the	most	beautiful	girl	you	've	ever	seen	and	kiss	her	.																												
O	O	O	B	I	O	O	O	O	O	O	O	O																												
Conoscere	la	più	bella	ragazza	che	abbiate	mai	visto	e	baciarla	.																													
O	O	O	B	I	O	O	O	O	O	O	O																													
God	is	not	lost	to	Eliezer	entirely	.																																	
O	O	O	O	O	O	O	O																																	
Dio	non	è	perso	tutto	per	Eliezer	.																																	
O	O	O	O	O	O	O	O																																	
The	English	have	60.000	men	,	we	have	11.000	.																															
O	O	O	O	O	O	O	O	O	O																															
Gli	inglesi	hanno	60000	uomini	,	noi	ne	abbiamo	11000	.		        																												
O	O	O	O	O	O	O	O	O	O	O																														
All                     	other	nations	have	a	present	.																																		
O	O	O	O	O	O	O																																		
        Tutte            	le	altre	nazioni	hanno	un                	presente	.																																	
O	O	O	O	O	O	O	O																																	
And	that	the	first	day	was	,	as	it	were	,	also	without	a	sky	?																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
E	che	il	primo	giorno	fosse	,	come	era	,	anche	senza	cielo	?																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
'	Men	of	Mark	'	is	his	alternative	.																																
O	B	I	I	O	O	O	O	O																																
'	Men	of	Mark'	è	la	sua	alternativa	.																																
O	B	I	I	O	O	O	O	O																																
The	Book	of	Amos	is	attributed	to	him	.																																
O	B	I	I	O	O	O	O	O																																
A	lui	è	attribuito	il	Libro	di	Amos	.																																
O	O	O	O	O	B	I	I	O																																
As	Kant	said	,	he	destroyed	pure	reason	to	make	room	for	faith	.																											
O	O	O	O	O	O	B	I	O	O	O	O	O	O																											
Come	Kant	disse	,	egli	distrusse	la	ragione	pura	per	far	spazio	alla	fede	.																										
O	O	O	O	O	O	O	B	I	O	O	O	O	O	O																										
Shalom	,	in	other	words	,	is	the	way	things	ought	to	be	.																											
O	O	O	O	O	O	O	O	O	O	B	I	I	O																											
Shalom	,	in	altre	parole	,	è	il	modo	in	cui	le	cose	dovrebbero	essere	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
